ANO;MES;SENADOR;TIPO_DESPESA;DATA;VALOR_REEMBOLSADO
2018;1;ACIR GURGACZ;Aluguel Imoveis;02/01/2018;6000.0
2018;1;ACIR GURGACZ;Passagens;02/01/2018;274.99
2018;1;ACIR GURGACZ;Passagens;02/01/2018;1094.29
2018;1;ACIR GURGACZ;Passagens;24/01/2018;1553.99
2018;2;ACIR GURGACZ;Aluguel Imoveis;01/02/2018;6000.0
2018;2;ACIR GURGACZ;Atividade Parlamentar;07/02/2018;1000.0
2018;2;ACIR GURGACZ;Atividade Parlamentar;02/03/2018;3000.0
2018;2;ACIR GURGACZ;Atividade Parlamentar;26/02/2018;2000.0
2018;2;ACIR GURGACZ;Passagens;09/02/2018;1063.42
2018;2;ACIR GURGACZ;Passagens;15/02/2018;339.02
2018;2;ACIR GURGACZ;Passagens;23/02/2018;1244.93
2018;2;ACIR GURGACZ;Passagens;25/02/2018;1684.14
2018;2;ACIR GURGACZ;Passagens;27/02/2018;1423.93
2018;3;ACIR GURGACZ;Aluguel Imoveis;01/03/2018;6000.0
2018;3;ACIR GURGACZ;Aluguel Imoveis;06/03/2018;649.52
2018;3;ACIR GURGACZ;Apoio parlamentar;05/03/2018;2200.0
2018;3;ACIR GURGACZ;Apoio parlamentar;19/03/2018;10000.0
2018;3;ACIR GURGACZ;Atividade Parlamentar;11/04/2018;3000.0
2018;3;ACIR GURGACZ;Viagens;16/03/2018;2993.51
2018;3;ACIR GURGACZ;Viagens;17/03/2018;2914.45
2018;3;ACIR GURGACZ;Viagens;23/03/2018;3791.37
2018;3;ACIR GURGACZ;Viagens;24/03/2018;3203.32
2018;3;ACIR GURGACZ;Viagens;27/03/2018;4415.53
2018;3;ACIR GURGACZ;Viagens;29/03/2018;4508.39
2018;3;ACIR GURGACZ;Passagens;07/03/2018;1597.62
2018;3;ACIR GURGACZ;Passagens;12/03/2018;1457.26
2018;3;ACIR GURGACZ;Passagens;15/03/2018;1644.92
2018;3;ACIR GURGACZ;Passagens;16/03/2018;2773.24
2018;3;ACIR GURGACZ;Passagens;19/03/2018;814.96
2018;3;ACIR GURGACZ;Passagens;27/03/2018;636.9
